radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,400,1,500,1871,0,49.827805,40.366222,1000,7,1,1238982139,1238982139,0
GSM,400,1,500,1551,0,49.829178,40.366026,1000,7,1,1238982139,1238982139,0
GSM,400,1,500,662,0,49.829693,40.365829,1000,8,1,1238982139,1238982139,0
GSM,400,1,500,691,0,49.830551,40.366058,1000,6,1,1238982139,1238982139,0
GSM,400,1,500,661,0,49.832503,40.368359,1000,19,1,1238982153,1238982153,0
GSM,400,1,500,1631,0,49.834946,40.368851,1000,5,1,1238982140,1238982140,0
GSM,400,1,500,342,0,49.83615,40.368999,1000,13,1,1238982141,1238982141,0
GSM,400,1,500,341,0,49.837417602539,40.368576049805,1000,2,1,1238982141,1238982141,0
GSM,400,1,500,113,0,49.837417602539,40.368576049805,1000,1,1,1238982141,1238982141,0
GSM,400,1,500,911,0,49.838790893555,40.367202758789,1000,6,1,1238982141,1238982141,0
GSM,400,1,500,522,0,49.839947,40.367636,1000,19,1,1238982585,1238982585,0
GSM,400,1,500,523,0,49.842910766602,40.368576049805,1000,1,1,1238982141,1238982141,0
GSM,400,1,500,303,0,49.845657348633,40.36994934082,1000,2,1,1238982141,1238982141,0
GSM,400,1,500,521,0,49.846911,40.370546,1000,23,1,1238982585,1238982585,0
GSM,400,1,500,1381,0,49.856221,40.37333,1000,13,1,1238982142,1238982142,0
GSM,400,1,500,1301,0,49.861483,40.374985,1000,21,1,1238982221,1238982221,0
GSM,400,1,500,6001,0,49.860288,40.375284,1000,26,1,1238982178,1238982178,0
GSM,400,1,800,1593,0,49.864338,40.376796,1000,68,1,1238982221,1238982221,0
GSM,400,1,500,161,0,49.864883,40.381393,1000,15,1,1238982179,1238982179,0
GSM,400,1,800,412,0,49.864491,40.387214,1000,14,1,1238982161,1238982161,0
GSM,400,1,800,411,0,49.867935,40.393906,1000,9,1,1238982155,1238982155,0
GSM,400,1,800,1132,0,49.878616,40.400986,1000,5,1,1238982150,1238982150,0
GSM,400,1,1000,243,0,49.884109,40.404085,1000,21,1,1238982150,1238982150,0
GSM,400,1,1000,241,0,49.893526,40.409382,1000,7,1,1238982155,1238982155,0
GSM,400,1,1000,6003,0,49.916336,40.42012,1000,15,1,1238982144,1238982144,0
GSM,400,1,1000,171,0,49.923571,40.414945,1000,34,1,1238982145,1238982145,0
GSM,400,1,700,133,0,49.933777,40.412521,1000,6,1,1238982145,1238982145,0
GSM,400,1,700,131,0,49.93618,40.412521,1000,12,1,1238982145,1238982145,0
GSM,400,1,700,981,0,49.927841,40.411257,6335,13,1,1239001945,1404413413,0
GSM,400,1,700,83,0,49.941787719727,40.41389465332,1000,6,1,1238982146,1238982146,0
GSM,400,1,700,72,0,49.94328,40.413895,1000,23,1,1238982146,1238982146,0
